Player,Year,Masters_Top_25,Driving_Rank,Top_10's,Percent_BreakPar_Ranklog,Avg_Score_Ranklog,Money_Ranklog,Average_Drive_Distance,Percent_Fairway_Hit,Percent_Greens_Hit,Percent_Par3_Bird,Percent_Par4_Bird,Percent_Par5_Bird,Avg_scoreB4cut
Peter Oosterhuis,1984,0.0,-0.37995145674054365,-0.4407545127764567,0.0011152828708815778,-0.09962979952191475,0.5263150444111486,-0.9501200451684398,-0.3996485703738595,-0.20456814857674285,1.1786205157073495,-1.112105839412239,-0.6162647083088074,1.3906831842937477
Tom Kite,1984,1.0,-0.3413290091092817,0.254778341400433,-1.0868025894696447,-0.4650137353431951,-0.9884468593020516,-0.9622332836745834,0.40215027364298483,0.1549126371074558,-0.885395174705449,1.7559368132537387,-1.2494412880837302,-0.02794205214692868
Nick Faldo,1984,1.0,-0.24477289003112698,0.9503111955773227,-0.36190731670765863,-0.9737734220494588,-0.08918195692287216,-1.0167428569522348,1.0357077723179224,0.28348605680472216,-0.31679581095536685,-0.7023854604599568,0.40152739719716457,0.3959154880091348
Keith Fergus,1984,0.0,-0.22546166621549601,-0.4407545127764567,1.0323960553713039,0.9158468633665824,0.6659928337806759,-1.0349127147114485,0.8432154222420452,-0.6795026172544057,-1.1071489265679808,-0.9408292875551372,-2.122021409385123,2.10864595639482
Raymond Floyd,1984,1.0,-0.09028309950607938,-0.4407545127764567,-0.9460254002655569,-0.3919807934902738,0.19481898706285847,-1.0894222879890998,0.42033852719346215,-0.38037262040770115,0.533260237851006,-0.24564798884101838,0.09409661982710862,0.17966164099073906
John Mahaffey,1984,0.0,-0.07097187569044842,0.9503111955773227,-0.299456212692744,-0.2046854009587046,-1.1626168415654474,-1.0954789072421716,0.6977093938382308,0.737428946756301,0.1750426386884543,0.6946938644920887,-1.5817281708581739,0.940875182495488
Lanny Wadkins,1984,0.0,-0.07097187569044842,0.254778341400433,-0.02022014183318146,0.20711862017478913,-0.14706602159312226,-1.0954789072421716,-0.26323666874528484,-1.4430712934157293,1.0336276779510782,-1.881171140888245,0.5153421956277806,0.6467699505504669
Charles Coody,1984,0.0,-0.03234942805918653,-1.1362873669533464,0.8687799544230521,0.6289998192190731,1.219371252579151,-1.1075921457483153,-0.4496662676376711,0.7243092100524989,0.42522635873849013,-2.5629189845547478,-0.5652442814261173,1.070627490706518
Mike Nicolette,1984,0.0,0.08351791483459917,-0.4407545127764567,0.29957737993025,0.44429102146192506,0.7227410998636554,-1.137875242013676,-0.986219747376732,-0.07074683419795268,-1.4056635925367742,-0.4034910856505045,-0.5665524975000321,1.702088724000237
John Cook,1984,0.0,0.08351791483459917,-1.1362873669533464,0.23826276194388044,-0.028656611684369913,0.8454778314077065,-1.137875242013676,0.05960483177567603,0.37007631904982036,-1.618888353943055,-0.47065836088858337,-0.1387658413297848,0.3440145647247178
Bob Eastwood,1984,0.0,0.08351791483459917,-0.4407545127764567,0.26947759947520306,0.6985715217751749,-0.3868371829812812,-1.137875242013676,-0.3056759270297305,-0.9366494566489403,0.1750426386884543,-0.6318598214599733,-0.9904145054485347,1.4771847231011133
George Archer,1984,1.0,0.08351791483459917,0.254778341400433,-0.2413156258125391,0.1167788932159895,-0.5140800992473846,-1.137875242013676,-0.537576159798308,-1.3617289258521512,-0.9308831238054556,0.12377202496841658,-0.6358879494175341,0.9322250286147478
Larry Nelson,1984,1.0,0.18007403391275392,-1.1362873669533464,0.8836954634881482,0.7080557960204003,1.0179119344993184,-1.1499884805198213,0.5991896871064836,0.22051132062646994,-1.286257726149257,-0.8467951022218266,-1.5032352064232657,1.5723364157892068
Ben Crenshaw,1984,1.0,0.2186964815440158,2.341376903931102,-0.7710468225160679,-0.5880652646549034,-0.6632356903611935,-1.156045099772893,-0.24050135180718923,0.14704079508517381,-0.7517743242241796,0.2950485768255176,0.08755553945753335,0.5170176423394246
Lennie Clements,1984,0.0,0.23800770535964677,-1.1362873669533464,1.0008304077624346,0.8387882574895409,1.168301270378902,-1.1742149575321086,-0.6118448617960879,-0.75559709013646,-0.4418876709803848,-1.9281882335549005,-1.2494412880837302,1.753989647284654
J.C. Snead,1984,0.0,0.2573189291752777,-0.4407545127764567,-0.04210979494422757,0.3340542348073974,0.08752957707338563,-1.180271576785182,-1.127178712392926,-0.6375194598022339,0.7663859769885397,-0.3564739929838489,-1.032277419813819,1.6328874929543518
Rex Caldwell,1984,1.0,0.2959413768065396,-0.4407545127764567,0.46058044231215484,0.7267087712144452,0.9613749743934209,-1.1984414345443974,-2.3033524419904157,-1.264642874244011,-1.189595834311743,0.12041366120651209,-1.4247422419883582,1.0965779523487265
David Ogrin,1984,0.0,0.4118087197003253,-1.1362873669533464,0.595701876981842,0.5644026201320492,0.8643468201165414,-1.252951007822047,-0.4663388333922746,-0.8421873523815602,0.3712094191822325,-1.7602700454597027,-0.38994332752148925,1.8664416477342156
